2020-01-01,AI,21,19,-5,-7,5,-6,-7,2,-1,21,-4,6,-10,-6,-4,-3,-3,0,-5,-21,0,-1,0,-5,3,-1,7,1,-4,0,4,-20,-14,2,-2,7,-24,24,-2,17,-12,4,27,-4,2,-1,18,6,-18,9,19,8,26,-5,-5,2,7,-4,0,-9,7,6,2,-19,-8,0,-9,6,2,-10,-5,2,-9,0,13,-10,-8,1,5,0,1,-9,-1,1,-4,8,4,0,5,-7,16,-2,3,8,-13,3,24,-13,8,2
2020-01-02,BB,0,10,-7,3,5,-3,12,6,17,-14,-9,8,-13,4,-6,-7,-18,0,17,-5,-11,10,7,-23,0,4,4,-14,-2,4,10,22,-1,8,-3,-7,-4,2,-8,-8,12,0,-20,-1,0,-1,14,-12,11,-5,-4,14,1,14,7,14,24,14,2,-3,-2,0,-1,6,3,-5,4,-8,5,-1,4,-8,0,5,-9,0,-4,-16,3,9,0,4,2,15,4,0,11,-3,15,-1,-4,2,-7,0,-4,14,3,1,5,16
2020-01-03,AH,1,9,8,-11,0,12,9,-1,-3,-5,13,5,17,4,-2,-1,2,-5,9,-11,4,18,0,3,11,-11,-8,8,12,-16,3,14,0,18,2,1,-20,-19,12,-3,2,-1,-5,6,5,1,0,-18,10,-17,0,-6,8,-2,-9,-20,6,-3,-14,-2,-9,4,28,-6,-15,-5,-2,-7,6,5,-9,-11,0,-1,-1,4,12,15,-3,-5,1,-3,1,-8,0,-4,-8,6,13,0,0,12,-1,-4,0,-20,12,-13,0,0
2020-01-04,BG,8,2,-2,1,12,-1,8,-7,-9,18,6,17,-9,-1,-7,15,10,-6,-5,-14,8,22,0,3,-3,3,-13,1,-6,-11,11,1,13,-3,9,-10,-3,7,10,5,0,12,-2,11,5,13,0,-13,0,6,-3,-10,-5,-11,-5,1,0,0,5,24,-12,2,11,-8,-6,3,24,0,-7,-14,3,-6,0,6,-7,-23,-1,7,5,14,7,14,12,4,9,-6,10,8,4,2,-8,-9,6,25,11,-3,-11,-5,6,-10
2020-01-05,BO,-5,18,21,-2,1,-15,-12,-7,0,10,1,-7,9,4,12,10,0,17,7,-5,-6,20,19,13,-12,-3,-9,-8,-6,16,6,13,-1,-3,-3,-6,-2,-1,0,-7,2,2,5,-9,11,-21,-15,0,-7,8,20,-9,14,-9,8,25,-5,-7,-4,1,-5,4,4,6,7,-2,5,5,0,18,9,-16,4,10,-8,-8,-12,5,-22,-7,13,29,0,0,3,-9,-12,0,-8,-5,3,0,-11,-5,-3,-5,14,3,-13,6
2020-01-06,CJ,0,-8,3,1,8,5,12,0,-11,-6,-2,-7,10,-13,-16,7,5,-2,-4,-7,0,11,-4,1,-5,-5,19,-3,4,-12,-7,-1,7,10,-1,-2,-6,-11,0,6,-7,-15,5,11,-8,21,11,2,15,-15,-2,-1,1,-6,-4,-16,0,18,10,-2,4,4,2,-1,15,10,6,-10,-1,10,-7,-11,-5,-7,-1,11,-4,0,8,-4,3,3,0,12,-9,7,8,20,-5,0,-17,-6,17,4,0,-25,-6,2,14,-3
2020-01-07,BS,20,17,-13,-5,8,-7,0,1,-7,1,17,20,17,0,-9,-3,14,2,13,-1,-6,3,-17,5,2,-14,-9,11,-2,-22,-7,10,8,4,8,-12,21,-25,14,7,-12,15,-1,9,-1,4,7,-6,0,0,4,-11,1,14,-9,18,-2,1,2,-16,-3,-6,-9,0,-17,4,-3,-4,7,-5,6,-10,4,-4,5,0,-7,5,-6,-2,-4,6,-3,7,-15,-5,10,-7,-9,-13,-1,11,0,7,6,-1,6,-7,29,-3
2020-01-08,BZ,0,-16,18,4,6,-24,0,2,-16,14,-11,-2,-4,-8,19,-1,9,-14,4,1,1,13,16,-6,0,1,-3,-1,12,10,0,-4,-10,8,-2,6,23,0,9,-12,8,11,-8,0,7,-14,20,6,-5,17,-7,-15,3,7,3,4,-10,-5,0,4,-5,-16,12,1,1,21,11,-1,-2,-13,3,-10,3,16,10,8,4,5,12,0,3,7,-3,6,13,19,2,8,8,2,-1,-4,28,-5,0,-13,13,-14,-17,-17
2020-01-09,BM,5,4,-3,-12,-4,15,-3,-10,3,7,-4,2,9,-6,-13,14,0,16,-20,-5,3,-4,6,4,4,-14,3,5,6,-11,0,-7,4,-10,-13,-7,-12,-3,9,14,-11,-2,5,8,24,-4,-9,1,-9,0,-5,-9,-6,4,6,13,-11,-3,-11,0,16,14,3,-10,13,34,6,-1,1,-12,12,17,12,-8,-2,-1,-7,-9,-15,0,-4,4,0,-2,-5,2,-1,12,-4,0,-17,12,-17,-8,2,0,1,10,-4,-16
2020-01-10,AP,-8,6,5,-11,1,-4,-26,0,-3,9,-3,16,-12,-27,1,-9,1,0,-6,-14,0,-10,-6,-9,-5,-16,-3,9,-2,14,8,-9,-14,17,0,-10,6,-1,-8,26,-1,-10,-4,-16,7,-1,13,1,0,4,-10,-10,-9,-1,-7,0,0,-5,-14,6,-3,-24,-9,0,20,3,2,1,-18,6,-5,9,12,14,23,6,-15,12,-8,-6,-9,14,2,11,-8,17,-4,-4,6,-15,4,9,1,0,0,2,-8,2,-2,-9
