2020-01-01,AY,8,9,3,-3,10,-21,-5,11,-3,0,0,8,0,3,9,15,-15,-14,17,5,-4,-1,-14,-12,13,7,-7,7,15,0,-14,25,-10,-10,4,5,-12,-10,1,-12,-11,5,-13,5,5,2,-2,17,3,-5,-15,13,16,4,-4,-8,2,19,4,1,6,-18,2,4,6,-13,-2,-6,-9,4,2,4,3,-10,27,-7,-10,-12,-3,10,5,4,5,7,3,-7,-4,22,0,-17,-6,-19,-6,0,6,15,12,-8,-11,9
2020-01-02,DD,25,-10,3,-7,0,-21,-15,2,0,9,-9,3,17,-10,-12,1,12,3,13,0,-2,0,-3,-18,-1,1,1,11,-17,3,3,23,-11,-19,-17,-15,-16,-24,0,10,5,-8,0,10,12,7,-9,14,-7,-13,-9,0,19,-18,5,16,-15,-6,-6,-9,20,-3,-6,3,2,7,4,-4,8,-5,-13,8,-1,-8,-5,-5,7,2,7,13,6,1,13,-3,10,3,5,13,7,2,5,-12,-17,0,-17,7,8,-2,8,3
2020-01-03,AJ,6,-5,-4,5,11,-12,-10,-4,-5,-18,3,9,-4,-10,6,5,0,-6,-13,-7,-5,-9,-17,-10,0,-18,3,9,-17,7,10,-3,9,13,-3,-9,4,-4,4,-3,0,-9,-24,-4,17,8,-1,1,3,-21,-15,-11,-5,-3,0,-20,-23,7,2,14,13,-13,0,2,-9,-1,1,-8,9,-8,-3,-3,12,-2,1,-11,3,1,-17,17,2,-15,-15,-3,13,19,2,3,-12,-9,7,2,1,10,-2,0,6,15,6,1
2020-01-04,BD,-13,2,-11,-2,-3,7,-8,-13,-5,11,0,-2,4,-16,-8,7,-3,-8,-18,0,18,12,-7,7,-15,-5,0,-5,-10,1,-8,0,-6,-6,8,-13,-5,2,13,5,4,-22,0,6,-2,-4,-7,-6,2,17,-3,-7,-3,5,-1,1,-1,-20,-3,-4,-6,1,-5,-2,0,1,-6,-13,5,1,12,-32,0,12,2,-23,8,4,-4,-3,-2,11,1,-6,-16,1,-7,1,0,13,0,19,0,26,-8,4,0,-4,30,-1
2020-01-05,DI,-7,2,-7,-2,-2,13,-5,10,0,-1,-11,5,-11,11,-4,10,9,10,-7,7,2,7,-3,-9,6,2,0,9,-2,6,7,2,-1,4,13,-6,-12,4,6,0,0,11,-5,14,-9,4,-10,10,-20,12,-17,-9,-1,4,0,-2,-9,-7,0,-6,-6,6,15,-5,16,8,0,11,-13,23,1,-7,-1,11,11,-3,8,-1,-24,0,4,8,0,17,-4,3,0,6,-5,0,-8,-20,7,-2,-1,5,5,-3,6,-2
2020-01-06,BN,-23,-9,1,-8,5,7,-15,6,6,-5,0,4,1,3,5,8,-3,-19,-4,4,13,-5,10,7,13,20,9,-28,-2,15,6,7,-5,-7,4,0,-2,-3,0,8,-3,4,-2,-3,11,12,12,7,1,7,6,-1,3,9,-3,11,-14,3,9,3,-21,-9,13,1,8,-8,4,13,8,17,0,1,9,4,-3,7,7,-20,-1,-25,11,7,14,-8,-19,5,1,1,16,3,-3,5,14,-15,-6,-8,3,0,-12,6
2020-01-07,AH,7,3,6,-16,-5,10,6,-2,11,0,10,-3,11,-17,-10,-11,-24,-2,16,11,11,8,8,3,4,2,1,4,-14,1,4,-8,17,-3,-6,-6,9,-5,-13,20,0,-12,-12,5,7,-13,-20,15,-8,7,-11,0,-4,-6,-14,3,4,14,15,-10,-9,14,1,4,-13,5,2,-10,-3,8,-8,0,-9,1,2,23,19,1,-22,18,-2,-8,-1,21,2,5,12,-5,-11,11,9,-1,-7,-4,-13,9,-2,5,8,-2
2020-01-08,CU,2,13,-15,17,0,-10,-1,2,12,-25,1,-6,0,21,-1,-4,-11,0,-8,-6,-9,21,-6,-17,0,-4,-5,16,-9,-13,6,22,8,0,-10,-7,-4,-13,-8,1,3,-5,3,3,11,11,1,12,-15,4,-3,2,-4,-4,-8,6,0,-6,-15,-5,9,18,0,0,6,11,-9,13,8,-14,-2,-3,-8,-20,-6,0,-5,1,-3,17,19,0,-16,-4,13,1,4,-2,-5,6,5,1,-3,-3,1,1,-6,-6,8,0
2020-01-09,BZ,-13,23,0,0,-7,0,3,2,6,8,5,-7,4,-12,16,-1,-7,3,0,13,7,-9,-9,-3,1,6,9,-5,0,6,1,11,18,9,9,-6,-8,-12,6,16,-7,4,5,4,0,-8,7,0,-3,2,1,-7,6,0,-2,-12,16,5,5,-10,-1,11,5,6,-4,-3,5,31,4,2,-1,0,18,-1,9,0,-9,-3,2,-9,-1,8,-20,-17,-5,-5,16,-10,12,-6,4,16,-1,1,-1,-15,-2,4,0,5
2020-01-10,DR,3,-6,-11,-16,2,2,8,13,-3,-1,-13,-7,1,10,-15,-14,9,4,-6,-17,4,-9,-3,24,3,-20,8,-4,-15,-6,1,0,4,11,18,3,9,-9,-15,-9,-6,2,0,-2,-13,-20,4,-4,10,0,-8,0,11,3,-9,3,-12,18,14,-3,9,-13,-5,1,-1,-10,-1,-12,3,-4,-3,-1,0,-9,-4,1,-13,2,0,-6,19,-7,13,3,15,15,-16,15,-3,-11,-2,-6,8,0,11,-9,2,1,-11,-6
