2020-01-01,BB,-10
2020-01-02,CL,4
2020-01-03,BD,21
2020-01-04,AE,3
2020-01-05,BG,-24
2020-01-06,BG,-3
2020-01-07,DT,8
2020-01-08,CV,5
2020-01-09,BN,5
2020-01-10,AN,-5
2020-01-11,AG,-3
2020-01-12,BJ,13
2020-01-13,AI,-7
2020-01-14,CQ,3
2020-01-15,CJ,-13
2020-01-16,BW,-12
2020-01-17,AS,14
2020-01-18,DO,2
2020-01-19,AF,-11
2020-01-20,AT,-27
2020-01-21,BA,-9
2020-01-22,DM,1
2020-01-23,BC,7
2020-01-24,AH,10
2020-01-25,CN,-21
2020-01-26,CG,9
2020-01-27,CH,-20
2020-01-28,CT,-1
2020-01-29,DD,-14
2020-01-30,CS,-5
2020-01-31,DQ,21
2020-02-01,CO,-4
2020-02-02,BB,5
2020-02-03,BS,-1
2020-02-04,CY,0
2020-02-05,AY,-6
2020-02-06,CE,-1
2020-02-07,DH,4
2020-02-08,DB,1
2020-02-09,AS,-10
2020-02-10,DQ,3
2020-02-11,DP,10
2020-02-12,BC,-15
2020-02-13,CH,-3
2020-02-14,BA,4
2020-02-15,AM,5
2020-02-16,BP,4
2020-02-17,AK,-11
2020-02-18,AR,-6
2020-02-19,CU,-11
2020-02-20,CA,0
2020-02-21,BA,3
2020-02-22,BC,-15
2020-02-23,AX,0
2020-02-24,BH,11
2020-02-25,BK,-23
2020-02-26,BX,2
2020-02-27,CF,3
2020-02-28,AL,10
2020-02-29,DP,-14
2020-03-01,BE,14
2020-03-02,AC,4
2020-03-03,BS,6
2020-03-04,BZ,7
2020-03-05,AP,4
2020-03-06,BL,1
2020-03-07,AV,-11
2020-03-08,BD,-10
2020-03-09,DP,3
2020-03-10,AK,0
2020-03-11,AL,-3
2020-03-12,AT,8
2020-03-13,AW,-3
2020-03-14,CB,-13
2020-03-15,BJ,7
2020-03-16,BL,-4
2020-03-17,DD,31
2020-03-18,BD,12
2020-03-19,BY,-8
2020-03-20,AV,-7
2020-03-21,DL,15
2020-03-22,BX,10
2020-03-23,CD,24
2020-03-24,BX,17
2020-03-25,BX,-9
2020-03-26,CQ,-11
2020-03-27,AM,0
2020-03-28,AW,-10
2020-03-29,CW,3
2020-03-30,AJ,0
2020-03-31,BU,0
2020-04-01,DG,-3
2020-04-02,BI,-2
2020-04-03,BF,-8
2020-04-04,DQ,-1
2020-04-05,AR,-2
2020-04-06,BX,-1
2020-04-07,CW,-11
2020-04-08,CD,3
2020-04-09,AM,9
2020-04-10,DA,-10
2020-04-11,CX,12
2020-04-12,AD,3
2020-04-13,BN,1
2020-04-14,BI,17
2020-04-15,BQ,-11
2020-04-16,BB,3
2020-04-17,BR,-5
2020-04-18,BS,1
2020-04-19,CV,-17
2020-04-20,CD,1
2020-04-21,DS,0
2020-04-22,CO,0
2020-04-23,AZ,-2
2020-04-24,CR,-8
2020-04-25,BI,-23
2020-04-26,BP,-17
2020-04-27,CJ,-2
2020-04-28,BJ,8
2020-04-29,CG,-10
2020-04-30,BN,-9
2020-05-01,CF,-2
2020-05-02,CU,-7
2020-05-03,CL,14
2020-05-04,AO,6
2020-05-05,BX,-9
2020-05-06,CS,-1
2020-05-07,BD,-17
2020-05-08,DA,-9
2020-05-09,AX,9
2020-05-10,BF,-8
2020-05-11,CK,-13
2020-05-12,DN,2
2020-05-13,CW,0
2020-05-14,DI,-1
2020-05-15,DK,-3
2020-05-16,AW,-14
2020-05-17,CS,-16
2020-05-18,AN,5
2020-05-19,BE,0
2020-05-20,BE,-2
2020-05-21,CE,5
2020-05-22,BF,-5
2020-05-23,CQ,-16
2020-05-24,DO,16
2020-05-25,CU,-10
2020-05-26,CY,7
2020-05-27,DR,-4
2020-05-28,AI,4
2020-05-29,AL,0
2020-05-30,DM,0
2020-05-31,AF,9
2020-06-01,CY,-18
2020-06-02,BH,-12
2020-06-03,CR,-10
2020-06-04,CP,7
2020-06-05,AM,1
2020-06-06,BR,-14
2020-06-07,CS,18
2020-06-08,BF,1
2020-06-09,DL,7
2020-06-10,BR,7
2020-06-11,AL,-12
2020-06-12,CW,-11
2020-06-13,BQ,-3
2020-06-14,CS,0
2020-06-15,DS,-7
2020-06-16,AK,-8
2020-06-17,AL,-1
2020-06-18,CX,-19
2020-06-19,AZ,14
2020-06-20,DL,2
2020-06-21,DM,5
2020-06-22,AK,-6
2020-06-23,BT,1
2020-06-24,CE,9
2020-06-25,BE,6
2020-06-26,CX,5
2020-06-27,AN,-9
2020-06-28,CI,1
2020-06-29,CN,-3
2020-06-30,DI,-13
2020-07-01,BY,0
2020-07-02,BY,14
2020-07-03,AP,-18
2020-07-04,DB,8
2020-07-05,CP,0
2020-07-06,AZ,-16
2020-07-07,BQ,-2
2020-07-08,AS,-11
2020-07-09,DA,-31
2020-07-10,CJ,-7
2020-07-11,AP,2
2020-07-12,DB,-6
2020-07-13,DQ,-20
2020-07-14,CW,-6
2020-07-15,AA,-8
2020-07-16,DF,15
2020-07-17,DR,-5
2020-07-18,BI,-3
2020-07-19,BO,4
2020-07-20,DD,-5
2020-07-21,CA,-6
2020-07-22,CG,0
2020-07-23,DO,3
2020-07-24,BO,11
2020-07-25,AG,-1
2020-07-26,BE,9
2020-07-27,CR,9
2020-07-28,CO,-14
2020-07-29,AJ,4
2020-07-30,BW,-16
2020-07-31,CY,-3
2020-08-01,DB,-10
2020-08-02,BV,0
2020-08-03,AY,4
2020-08-04,BD,-12
2020-08-05,DG,16
2020-08-06,AH,13
2020-08-07,CQ,-10
2020-08-08,CF,4
2020-08-09,CD,8
2020-08-10,BS,-7
2020-08-11,DC,-16
2020-08-12,AK,-1
2020-08-13,BZ,-7
2020-08-14,AF,-7
2020-08-15,CD,-14
2020-08-16,CS,-16
2020-08-17,BZ,0
2020-08-18,AT,4
2020-08-19,DM,-5
2020-08-20,CS,15
2020-08-21,AP,3
2020-08-22,BK,-14
2020-08-23,AX,-4
2020-08-24,BA,9
2020-08-25,CE,7
2020-08-26,CB,10
2020-08-27,DF,-3
2020-08-28,DE,5
2020-08-29,CF,15
2020-08-30,DR,18
2020-08-31,BX,0
2020-09-01,BN,2
2020-09-02,DS,0
2020-09-03,DJ,-2
2020-09-04,DP,11
2020-09-05,BV,-1
2020-09-06,DU,-28
2020-09-07,BR,-9
2020-09-08,AJ,-5
2020-09-09,DH,18
2020-09-10,AJ,-17
2020-09-11,BQ,-7
2020-09-12,BY,11
2020-09-13,CT,13
2020-09-14,AH,0
2020-09-15,DD,-2
2020-09-16,BJ,0
2020-09-17,BG,-4
2020-09-18,DO,7
2020-09-19,AO,-13
2020-09-20,CK,-10
